run,Position,Velocity,TorqueForce,TorqueGeneratingCurrent,timestamp,timestepsns,timestepsms,a_ziel,v_ziel,Amplitude,Messzeitms
60,-23.26140022277832,4415.130859375,0.05999999865889549,0.2070000022649765,701996557079,1187997650,1187.99765,3551.0,92,30,1391.125226
60,-21.444400787353516,4795.0751953125,0.05999999865889549,0.23800000548362732,702020568233,1212008804,1212.008804,3551.0,92,30,1391.125226
60,-19.49410057067871,5003.35693359375,0.05999999865889549,0.22699999809265137,702044560111,1236000682,1236.000682,3551.0,92,30,1391.125226
60,-17.45669937133789,5149.841796875,0.05999999865889549,0.2150000035762787,702068557855,1259998426,1259.998426,3551.0,92,30,1391.125226
60,-15.002599716186523,5371.85693359375,0.05000000074505806,0.20900000631809235,702104559640,1296000211,1296.000211,3551.0,92,30,1391.125226
60,-12.160900115966797,5458.83203125,0.05999999865889549,0.2409999966621399,702132557055,1323997626,1323.997626,3551.0,92,30,1391.125226
60,-9.634699821472168,5458.83203125,0.05999999865889549,0.22699999809265137,702156557593,1347998164,1347.998164,3551.0,92,30,1391.125226
60,-7.44789981842041,5472.56494140625,0.05999999865889549,0.2199999988079071,702180567140,1372007711,1372.007711,3551.0,92,30,1391.125226
60,-4.953199863433838,4726.41015625,0.03999999910593033,0.1809999942779541,702208560156,1400000727,1400.000727,3551.0,92,30,1391.125226
61,0.0027000000700354576,-2.2890000343322754,0.03999999910593033,0.14900000393390656,702864559358,0,0.0,2710.0,72,32,1885.987876
61,0.003000000026077032,22.88800048828125,0.07999999821186066,0.27300000190734863,702892557890,27998532,27.998532,2710.0,72,32,1885.987876
61,0.22419999539852142,1412.2010498046875,0.07000000029802322,0.2540000081062317,702916557730,51998372,51.998372,2710.0,72,32,1885.987876
61,0.9388999938964844,2407.8369140625,0.05999999865889549,0.24400000274181366,702940565112,76005754,76.005754,2710.0,72,32,1885.987876
61,1.9831000566482544,2996.06298828125,0.05999999865889549,0.20499999821186066,702964558946,99999588,99.999588,2710.0,72,32,1885.987876
61,3.250999927520752,3511.047119140625,0.05000000074505806,0.20499999821186066,702988558366,123999008,123.999008,2710.0,72,32,1885.987876
61,4.68149995803833,3701.01904296875,0.05000000074505806,0.20499999821186066,703012555831,147996473,147.996473,2710.0,72,32,1885.987876
61,6.1992998123168945,3902.43505859375,0.05000000074505806,0.19699999690055847,703036556369,171997011,171.997011,2710.0,72,32,1885.987876
61,7.782899856567383,4046.631103515625,0.05999999865889549,0.21199999749660492,703060565847,196006489,196.006489,2710.0,72,32,1885.987876
61,9.418800354003906,4154.205078125,0.05999999865889549,0.21899999678134918,703084558982,219999624,219.999624,2710.0,72,32,1885.987876
61,11.083200454711914,4204.56005859375,0.05999999865889549,0.2199999988079071,703116558163,251998805,251.998805,2710.0,72,32,1885.987876
61,13.334099769592285,4323.578125,0.05000000074505806,0.19900000095367432,703140564009,276004651,276.004651,2710.0,72,32,1885.987876
61,15.046899795532227,4282.37890625,0.05000000074505806,0.20900000631809235,703164560217,300000859,300.000859,2710.0,72,32,1885.987876
61,16.75749969482422,4243.46923828125,0.05999999865889549,0.20999999344348907,703188558450,323999092,323.999092,2710.0,72,32,1885.987876
61,18.467500686645508,4351.0439453125,0.05999999865889549,0.20999999344348907,703212557801,347998443,347.998443,2710.0,72,32,1885.987876
61,20.189699172973633,4348.7548828125,0.05999999865889549,0.21699999272823334,703236556383,371997025,371.997025,2710.0,72,32,1885.987876
61,22.202899932861328,4332.73291015625,0.05999999865889549,0.23399999737739563,703264558547,399999189,399.999189,2710.0,72,32,1885.987876
61,23.933000564575195,4275.51318359375,0.05000000074505806,0.1889999955892563,703288557479,423998121,423.998121,2710.0,72,32,1885.987876
61,25.65679931640625,4380.798828125,0.05000000074505806,0.20000000298023224,703312555433,447996075,447.996075,2710.0,72,32,1885.987876
61,27.3789005279541,4096.98486328125,0.05000000074505806,0.18400000035762787,703336557089,471997731,471.997731,2710.0,72,32,1885.987876
61,28.877899169921875,2947.998046875,0.05000000074505806,0.17900000512599945,703360567265,496007907,496.007907,2710.0,72,32,1885.987876
61,29.864599227905273,1467.133056640625,0.03999999910593033,0.14900000393390656,703384558444,519999086,519.999086,2710.0,72,32,1885.987876
